Corrected,Corrected,Corrected,Corrected,Corrected,Corrected
9061148.861356115,10798756.638664857,8413646.662294779,68445839.595625997,81430406.662023634,68358699.411068246
119123994.57701968,117470694.03972846,112471637.5895907,1581988954.9218311,2036164989.2556787,1868498433.5855858
190503.97342110658,1387391.4581849237,2231621.2249576477,12830302.106651811,7911962.6722502848,6884344.9938492151
17875509.169036608,16857710.460071594,14880927.555838838,48348328.413220912,48854605.159511425,46590375.539730445
0.0,432529.67648374022,448200.94639847893,1314335.7925200823,3273021.8357635434,410796.21637330734
1306392.0056974133,1438839.1062721293,1347780.3174501811,14901633.20290632,8769011.1570758726,9238622.8127327226
0.0,0.0,0.0,0.0,0.0,0.0
1399623.8678206801,1512638.4446738441,1384947.577048558,3567993.8470761497,2148980.2507246383,2629836.7896226868
1154154.5468154387,1745427.7508308743,1255075.0102710363,386435.99081563222,256204.96771586026,0.0
4660629.8918263437,4735960.5411151517,4011700.780123828,581054.65711854224,0,0.0
3696234.9673518357,4295337.6292576492,3540028.8999190694,0.0,0,0
11052119.313273733,11596945.35176304,11337994.761100162,289420.6976337824,0,98441.025831133069
5178640.3203237802,5553693.1060894867,4686546.1362743331,0,0,0
19605523.868698459,19764225.166402284,18928549.330293506,0,0,0
5907547.6621281812,6208839.4478317518,6369823.059296838,0,0,0
20792533.010017321,21564105.337250847,20999273.533621952,0,0,0
3015440.5499103931,3662397.7747084573,3227543.6825885996,154089.84922038185,0,0
13311137.296270275,13080622.87410298,13081428.253714569,0,0,0
675469.96308586292,1023552.7344947929,1175524.4799069504,0,0,0
3463283.5240494139,3521761.1710196338,3512863.0071992842,0,0,0
865396.34645853157,1154659.3085362497,855241.31158468605,0,0,0
2688534.0225359118,2832082.8157843919,2806677.9866445167,0,0,0
1525356.3344009747,2455751.8621825371,2203370.0584075558,0,0,0
4916613.4822486388,5700885.849223461,4948865.9981195303,0,0,0
3170848.0558911827,3850826.7312278515,3759028.1548816981,0,0,0
1132421.6722057492,3945784.429391514,2684008.1008712794,0,0,0
56923.473651659275,0.0,376635.30512901419,0,0,0
9896803.040416643,9010996.1010149382,7897907.6735355938,0,0,0
3442522.864494808,3991765.6055843183,2932238.7201404814,0,0,0
8284.2969509753966,23415.161934480104,471963.80391334835,0,0,0
622894.12958716147,688910.5204446459,885761.87147928984,0,0,0
1630745.3902932708,4877799.15381792,3237433.5757893035,0,0,0
1125236.2463105377,845699.70981349703,0.0,0,0,0
2233894.2458527447,1997621.0390730912,1306292.4083663465,0,0,0
74675.317910196551,35075.976284227523,95328.481416239709,0,0,0
373773.7066354471,167301.98907418668,314132.94205378881,0,0,0
370637.51707490097,595915.42246389843,409996.8317542483,0,0,0
689668.7061707637,446730.12017271941,629356.5448459906,0,0,0
487703.76153742976,705385.04645397619,160402.12654040789,0,0,0
955476.47738826612,1155431.0295912956,888656.7436335627,0,0,0
440850.54183662886,480227.73414083832,661396.40977004927,0,0,0
961099.43351948843,1316582.4338955742,1206679.8995247744,0,0,0
561834.64739724016,912207.98436522635,836838.38572718564,0,0,0
683669.38442402671,1156139.9198940408,813009.09805734095,0,0,0
